ID	Sample	Project	Run_Seq	Pool
30277_4066_0255_P1	30277	4066	0255	P1
30284_4066_0337_P2	30284	4066	0337	P2
30310_4066_0300_P2	30310	4066	0300	P2
30316_4066_0286_P1	30316	4066	0286	P1
30316_4066_0286_P2	30316	4066	0286	P2
30323_4066_0287_P1	30323	4066	0287	P1
30323_4066_0287_P2	30323	4066	0287	P2
30356_4066_0321_P2	30356	4066	0321	P2
30363_4066_0288_P1	30363	4066	0288	P1
30363_4066_0288_P2	30363	4066	0288	P2
30367_4066_0373_P1	30367	4066	0373	P1
30367_4066_0373_P2	30367	4066	0373	P2
30394_4066_0318_P2	30394	4066	0318	P2
30408_4066_0332_P2	30408	4066	0332	P2
30416_4483_0305_P2	30416	4483	0305	P2
30423_4483_0276_P1	30423	4483	0276	P1
30431_4066_0355_P2	30431	4066	0355	P2
30474_4066_0363_P2	30474	4066	0363	P2
30486_4066_0301_P2	30486	4066	0301	P2
30496_4066_0338_P2	30496	4066	0338	P2
30531_4066_0374_P1	30531	4066	0374	P1
30531_4066_0374_P2	30531	4066	0374	P2
30536_4483_0358_P2	30536	4483	0358	P2
30540_4483_0381_P2	30540	4483	0381	P2
30554_4483_0341_P2	30554	4483	0341	P2
30569_4066_0339_P2	30569	4066	0339	P2
30580_4066_0322_P2	30580	4066	0322	P2
30596_4066_0347_P2	30596	4066	0347	P2
30627_4483_0370_P2	30627	4483	0370	P2
30628_4066_0348_P2	30628	4066	0348	P2
30667_4483_0308_P2	30667	4483	0308	P2
30674_4483_0360_P2	30674	4483	0360	P2
30675_4066_0356_P2	30675	4066	0356	P2
30695_4066_0333_P2	30695	4066	0333	P2
30703_4066_0302_P2	30703	4066	0302	P2
30711_4066_0349_P2	30711	4066	0349	P2
30786_4066_0357_P2	30786	4066	0357	P2
30886_4066_0375_P1	30886	4066	0375	P1
30886_4066_0375_P2	30886	4066	0375	P2
30921_4066_0323_P2	30921	4066	0323	P2
31044_4066_0376_P1	31044	4066	0376	P1
31044_4066_0376_P2	31044	4066	0376	P2
31065_4483_0351_P2	31065	4483	0351	P2
31067_4066_0364_P2	31067	4066	0364	P2
31081_4066_0340_P2	31081	4066	0340	P2
31091_4483_0310_P2	31091	4483	0310	P2
31103_4483_0321_P2	31103	4483	0321	P2
31119_4483_0290_P2	31119	4483	0290	P2
31136_4483_0363_P2	31136	4483	0363	P2
31151_4066_0319_P2	31151	4066	0319	P2
31194_4483_0326_P2	31194	4483	0326	P2
31219_4483_0352_P2	31219	4483	0352	P2
31279_4483_0369_P2	31279	4483	0369	P2
31326_4483_0304_P2	31326	4483	0304	P2
31346_4066_0324_P2	31346	4066	0324	P2
31363_4066_0325_P2	31363	4066	0325	P2
31397_4066_0279_P1	31397	4066	0279	P1
31425_4066_0334_P2	31425	4066	0334	P2
31432_4066_0303_P2	31432	4066	0303	P2
31446_4066_0341_P2	31446	4066	0341	P2
31450_4483_0368_P2	31450	4483	0368	P2
31466_4066_0335_P2	31466	4066	0335	P2
31474_4483_0205_P1	31474	4483	0205	P1
31529_4066_0326_P2	31529	4066	0326	P2
31542_4066_0365_P2	31542	4066	0365	P2
31579_4066_0311_P2	31579	4066	0311	P2
31626_4066_0289_P2	31626	4066	0289	P2
31635_4066_0256_P1	31635	4066	0256	P1
31641_4066_0312_P2	31641	4066	0312	P2
31644_4066_0350_P2	31644	4066	0350	P2
31662_4066_0358_P2	31662	4066	0358	P2
31663_4066_0296_P2	31663	4066	0296	P2
31664_4066_0366_P2	31664	4066	0366	P2
31693_4483_0292_P2	31693	4483	0292	P2
40015_4483_0295_P2	40015	4483	0295	P2
40018_4066_0351_P2	40018	4066	0351	P2
40025_4483_0294_P2	40025	4483	0294	P2
40043_4066_0273_P1	40043	4066	0273	P1
40093_4483_0301_P2	40093	4483	0301	P2
40102_4483_0293_P2	40102	4483	0293	P2
40104_4483_0343_P2	40104	4483	0343	P2
40171_4066_0280_P1	40171	4066	0280	P1
40184_4066_0266_P1	40184	4066	0266	P1
40237_4483_0347_P2	40237	4483	0347	P2
40243_4483_0340_P2	40243	4483	0340	P2
40260_4066_0257_P1	40260	4066	0257	P1
40288_4483_0350_P2	40288	4483	0350	P2
40298_4066_0274_P1	40298	4066	0274	P1
40320_4483_0375_P2	40320	4483	0375	P2
40360_4483_0296_P2	40360	4483	0296	P2
40361_4483_0306_P2	40361	4483	0306	P2
40396_4066_0281_P1	40396	4066	0281	P1
40507_4483_0371_P2	40507	4483	0371	P2
40611_4483_0291_P2	40611	4483	0291	P2
40612_4483_0382_P2	40612	4483	0382	P2
40628_4483_0300_P2	40628	4483	0300	P2
40634_4066_0258_P1	40634	4066	0258	P1
40666_4066_0336_P2	40666	4066	0336	P2
40681_4483_0353_P2	40681	4483	0353	P2
40730_4066_0259_P1	40730	4066	0259	P1
40766_4483_0316_P2	40766	4483	0316	P2
40787_4066_0367_P2	40787	4066	0367	P2
40846_4066_0313_P2	40846	4066	0313	P2
40859_4066_0327_P2	40859	4066	0327	P2
40890_4483_0302_P2	40890	4483	0302	P2
40897_4066_0359_P2	40897	4066	0359	P2
40961_4483_0289_P2	40961	4483	0289	P2
41086_4066_0282_P1	41086	4066	0282	P1
41091_4483_0311_P2	41091	4483	0311	P2
41147_4066_0304_P2	41147	4066	0304	P2
41150_4066_0267_P1	41150	4066	0267	P1
41292_4066_0297_P2	41292	4066	0297	P2
41325_4066_0342_P2	41325	4066	0342	P2
41352_4066_0290_P2	41352	4066	0290	P2
41356_4066_0368_P2	41356	4066	0368	P2
41377_4066_0343_P2	41377	4066	0343	P2
41411_4066_0360_P2	41411	4066	0360	P2
41443_4483_0379_P2	41443	4483	0379	P2
41459_4483_0354_P2	41459	4483	0354	P2
41464_4066_0328_P2	41464	4066	0328	P2
41478_4483_0356_P2	41478	4483	0356	P2
41496_4066_0283_P1	41496	4066	0283	P1
41522_4066_0344_P2	41522	4066	0344	P2
41523_4066_0352_P2	41523	4066	0352	P2
41541_4483_0376_P2	41541	4483	0376	P2
41551_4066_0291_P2	41551	4066	0291	P2
41608_4066_0292_P2	41608	4066	0292	P2
41635_4066_0305_P2	41635	4066	0305	P2
41675_4066_0275_P1	41675	4066	0275	P1
41676_4066_0320_P2	41676	4066	0320	P2
41681_4483_0364_P2	41681	4483	0364	P2
